date,system_price(avg),area_price_中国,area_price_中部,area_price_九州,area_price_北海道,area_price_北陸,area_price_四国,area_price_東京,area_price_東北,area_price_関西,LNG(close),OIL(close)
2021-04-03,5.175833,5.137291,5.137291,4.609583,5.542916,5.137291,5.137291,5.542916,5.542916,5.137291,,
2021-04-04,5.834583,5.910625,5.894375,5.643333,5.894375,5.894375,5.910625,5.894375,5.894375,5.910625,,
2021-04-05,5.812291,5.684791,5.668125,4.334583,6.147708,5.668125,5.684791,6.328958,6.328958,5.684791,,58.65
2021-04-06,6.131458,6.45875,6.465,4.765833,6.345833,6.465,6.45875,6.477291,6.345833,6.465,,59.33
2021-04-07,5.748125,5.762083,5.845208,4.873125,6.321666,5.845208,5.762083,6.327291,6.321666,5.845208,,59.77
2021-04-08,6.472083,6.298333,6.2775,5.266458,6.686041,6.2775,6.298333,6.797291,6.686041,6.298333,,59.6
2021-04-09,6.660416,6.708958,6.71125,5.064166,7.109791,6.71125,6.708958,7.121041,7.109791,6.71125,,59.32
2021-04-10,5.903541,6.139166,6.01625,5.217708,6.771666,6.139166,6.139166,6.771666,6.771666,6.139166,,
2021-04-11,4.955625,4.90375,4.894375,4.448125,5.20125,4.90375,4.90375,5.213541,5.213541,4.90375,,
2021-04-12,7.267708,7.359166,7.359166,6.880625,7.139166,7.359166,7.337916,7.392916,7.139166,7.359166,,59.7
2021-04-13,8.424166,8.746666,8.746666,7.879583,8.166458,8.746666,8.746666,8.592916,8.166458,8.746666,,60.18
2021-04-14,7.66625,8.092916,8.092916,5.708125,7.637291,8.092916,8.092916,8.1075,7.637291,8.092916,,63.15
2021-04-15,7.478541,7.618541,7.681875,6.013541,6.947916,7.738541,7.618541,7.781666,6.956666,7.738541,,63.46
2021-04-16,7.730416,7.770833,7.770833,7.735416,7.390416,7.770833,7.770833,7.770833,7.446458,7.770833,,63.19
2021-04-17,7.517916,7.629791,7.546041,7.048125,7.623125,7.629791,7.629791,7.419375,7.419375,7.629791,,
2021-04-18,4.542083,5.614583,5.345833,4.14875,5.265208,5.614583,5.614583,5.610416,5.207916,5.614583,,
2021-04-19,5.801041,6.597916,6.312916,5.155625,6.312916,6.597916,6.597916,6.312916,6.312916,6.597916,,63.43
2021-04-20,6.21375,7.088333,6.875208,5.355208,5.96,7.088333,7.088333,7.011041,5.977916,7.088333,,62.67
2021-04-21,6.309583,6.911458,6.646041,5.525833,5.285,6.484583,6.911458,6.775208,5.312708,6.911458,,61.35
2021-04-22,7.055208,7.202916,7.186666,5.735625,6.231041,7.186666,7.202916,7.210833,6.258541,7.202916,,61.43
2021-04-23,7.564375,7.626666,7.626666,7.623333,6.681875,7.626666,7.626666,7.626666,6.681875,7.626666,,62.14
2021-04-24,6.643958,6.932916,6.932916,5.554583,6.956458,6.932916,6.932916,6.868333,6.868333,6.932916,,
2021-04-25,5.4425,5.998541,5.981666,4.49375,6.504791,5.998541,5.998541,6.445,6.445,5.998541,,
2021-04-26,7.218333,7.502083,7.49125,5.907291,7.621458,7.502083,7.502083,7.639375,7.597083,7.502083,,61.91
2021-04-27,8.206041,8.240625,8.240625,6.994583,7.830416,8.240625,8.240625,8.297291,7.835,8.240625,,62.94
2021-04-28,10.113958,10.41125,10.373541,10.137291,10.038958,10.41125,10.41125,10.310625,10.038958,10.41125,,63.86
2021-04-29,9.027916,9.276041,9.276041,8.624791,9.276041,9.276041,9.276041,9.276041,9.276041,9.276041,,65.01
2021-04-30,6.515,6.242916,6.242916,5.07125,7.310833,6.242916,6.242916,6.958333,6.958333,6.242916,,63.58
2021-05-01,6.961875,7.048125,7.002083,6.176875,7.006875,7.048125,7.048125,6.960208,6.960208,7.048125,,
2021-05-02,6.132291,6.285416,6.24125,4.644791,6.363125,6.285416,6.285416,6.24125,6.24125,6.285416,,
2021-05-03,4.867708,4.740625,4.662916,4.423958,6.091458,4.740625,4.740625,6.102083,6.102083,4.740625,,64.49
2021-05-04,4.535625,4.487708,4.487708,4.44625,4.527291,4.487708,4.487708,4.535625,4.535625,4.487708,,65.69
2021-05-05,6.365,6.397291,6.397291,6.396458,6.324375,6.397291,6.397291,6.360833,6.359791,6.397291,,65.63
2021-05-06,5.134791,5.149583,5.051875,4.670416,5.451458,5.149583,5.149583,6.038541,5.451458,5.149583,,64.71
2021-05-07,7.280833,7.365416,7.365416,7.347708,6.79375,7.365416,7.365416,7.279583,6.83125,7.365416,,64.9
2021-05-08,5.81375,6.168958,6.168958,6.168958,5.194583,6.168958,6.168958,6.170833,5.194583,6.168958,,
2021-05-09,3.959166,3.857916,3.857916,3.857916,3.973541,3.857916,3.857916,3.973541,3.973541,3.857916,,
2021-05-10,6.023541,6.438333,6.438333,4.717291,6.511875,6.438333,6.438333,6.525208,6.511875,6.438333,,64.92
2021-05-11,7.950833,7.956458,7.956458,7.418958,7.965,7.956458,7.956458,8.158958,7.965,7.956458,,65.28
2021-05-12,8.152291,8.434166,8.407708,8.434166,7.692916,8.434166,8.434166,8.16125,7.707916,8.434166,,66.08
2021-05-13,7.954166,7.797916,7.797916,7.75,7.81,7.797916,7.797916,7.797916,7.774791,7.797916,,63.82
2021-05-14,6.924583,6.927291,6.927291,6.927291,6.888958,6.927291,6.927291,6.935208,6.888958,6.927291,,65.37
2021-05-15,6.788541,6.857708,6.779791,6.857708,6.677916,6.857708,6.857708,6.779791,6.65375,6.857708,,
2021-05-16,6.616458,6.648333,6.648333,6.636875,6.583125,6.648333,6.648333,6.561458,6.561458,6.648333,,
2021-05-17,8.877708,9.323541,9.323541,8.807708,8.82375,9.323541,9.323541,8.8175,8.8175,9.323541,,66.27
2021-05-18,7.879583,8.052708,8.052708,7.978958,7.502291,8.052708,8.052708,7.637916,7.602708,8.052708,,65.5
2021-05-19,8.569583,8.648958,8.648958,8.42375,8.643125,8.648958,8.648958,8.643125,8.643125,8.648958,,63.35
2021-05-20,8.708958,9.928958,9.928958,9.928958,7.80625,9.928958,9.928958,8.5725,7.924791,9.928958,,61.94
2021-05-21,9.223125,9.284791,9.284791,9.284791,9.225208,9.284791,9.284791,9.225208,9.225208,9.284791,,63.58
2021-05-22,6.534791,6.42125,6.42125,4.617916,6.941041,6.42125,6.42125,6.941041,6.941041,6.42125,,
2021-05-23,4.501458,4.272916,4.272916,4.075,9.211666,4.272916,4.272916,6.225833,6.225833,4.272916,,
2021-05-24,8.799166,8.777708,8.777708,8.754583,10.421041,8.777708,8.777708,8.777708,8.777708,8.777708,,66.05
2021-05-25,7.030208,6.957291,6.957291,5.324791,8.019583,6.957291,6.957291,7.154166,7.099791,6.957291,,66.07
2021-05-26,6.718958,6.895,6.895,6.888541,6.537708,6.895,6.895,6.7525,6.470833,6.895,,66.21
2021-05-27,9.37875,9.331666,9.336875,7.892708,9.336875,9.331666,9.331666,9.336875,9.336875,9.331666,,66.85
2021-05-28,6.802916,6.783541,6.783541,6.707916,9.546875,6.783541,6.783541,6.814791,6.807291,6.783541,,66.32
2021-05-29,4.396041,4.605833,4.605833,3.826666,5.885625,4.605833,4.605833,5.885625,5.885625,4.605833,,
2021-05-30,3.799375,3.985833,3.985833,3.482916,4.652916,3.985833,3.985833,4.664166,4.664166,3.985833,,
2021-05-31,6.241458,6.395833,6.395833,4.155416,6.53875,6.395833,6.456666,6.485208,6.485208,6.395833,,
2021-06-01,6.890416,7.021041,7.040416,5.040625,6.979583,7.021041,7.257916,7.025625,6.979583,7.021041,,67.72
2021-06-02,6.806875,6.899375,6.899375,6.899375,6.752291,6.899375,6.899375,6.752291,6.752291,6.899375,,68.83
2021-06-03,7.608333,8.347291,8.205208,8.347291,7.131875,8.347291,8.355208,7.268333,7.129791,8.347291,,68.81
2021-06-04,8.920625,9.516875,9.516875,9.483958,8.726666,9.516875,9.865416,8.726666,8.726666,9.516875,,69.62
2021-06-05,6.223958,6.395,6.395,6.395,6.401875,6.395,6.395,6.18,6.044166,6.395,,
2021-06-06,6.048333,5.796666,6.181458,4.352291,5.937291,5.796666,5.796666,6.328125,6.229375,5.796666,,
2021-06-07,6.949791,5.82875,7.266458,5.24125,6.73375,7.266458,5.82875,7.098125,7.0875,7.266458,,69.23
2021-06-08,7.062291,6.43625,7.421458,6.394791,6.829375,7.421458,6.43625,7.096458,7.096458,7.421458,,70.05
2021-06-09,7.109791,7.472083,7.760208,7.198958,6.387708,7.760208,7.472083,6.885416,6.606458,7.760208,,69.96
2021-06-10,7.389791,8.038125,8.265416,8.038125,6.665,8.265416,8.038125,7.147083,6.8025,8.265416,,70.29
2021-06-11,7.416666,9.344375,8.968333,9.344375,6.964375,9.344375,9.344375,7.075416,6.997291,9.344375,,70.91
2021-06-12,7.031666,7.4475,7.248333,7.4475,6.785625,7.4475,7.4475,6.958541,6.785625,7.4475,,
2021-06-13,6.480208,6.629583,6.629583,6.618125,5.917708,6.629583,6.629583,6.38,6.38,6.629583,,
2021-06-14,7.2675,7.709791,7.709791,7.700625,6.574166,7.709791,7.709791,7.26375,6.664791,7.709791,,70.88
2021-06-15,7.142291,7.954375,7.913958,7.954375,6.940416,7.954375,7.954375,7.063958,6.940416,7.954375,,72.12
2021-06-16,7.653958,9.240208,9.174375,9.202708,6.556666,9.240208,9.240208,7.328125,6.599791,9.240208,,72.15
2021-06-17,7.272708,8.10375,7.753125,8.10375,6.599375,8.10375,8.10375,7.033541,6.612083,8.10375,,71.04
2021-06-18,7.244583,9.535833,8.730208,9.535833,6.851041,9.535833,9.535833,6.724583,6.638958,9.535833,,71.29
2021-06-19,6.686875,7.021875,6.9975,7.021875,7.121041,7.021875,7.021875,6.463541,6.463541,7.021875,,
2021-06-20,6.324166,6.204166,6.458333,4.727708,6.840833,6.204166,6.204166,6.4675,6.4675,6.204166,,
2021-06-21,7.222083,7.203958,7.299791,6.995208,7.674375,7.299791,7.203958,7.236458,7.236458,7.299791,,73.12
2021-06-22,7.343541,7.642916,7.643333,7.639375,7.623125,7.643333,7.642916,7.204791,7.204791,7.643333,,72.85
2021-06-23,7.15625,7.59,7.585625,6.331458,7.350416,7.605833,7.59,7.193958,7.193958,7.605833,,73.08
2021-06-24,7.310625,7.530625,7.530625,7.488333,7.5675,7.530625,7.530625,7.281458,7.281458,7.530625,,73.3
2021-06-25,7.310833,7.534583,7.534583,7.529166,7.552083,7.534583,7.534583,7.207916,7.207916,7.534583,,74.05
2021-06-26,6.791875,7.299166,7.185208,7.299166,5.629583,7.299166,7.299166,6.744791,6.744791,7.299166,,
2021-06-27,6.676875,6.917708,6.917708,6.880208,5.836458,6.917708,6.917708,6.566666,6.566666,6.917708,,
2021-06-28,7.175416,7.291875,7.279583,7.291875,7.965625,7.291875,7.291875,6.962708,6.962708,7.291875,,72.91
2021-06-29,7.645833,7.787083,7.789583,7.423125,7.85875,7.787083,7.787083,7.663958,7.663958,7.787083,,72.98
2021-06-30,7.54125,7.918541,7.918541,7.884791,7.422916,7.918541,7.918541,7.296458,7.296458,7.918541,,73.47
2021-07-01,8.167708,8.253541,8.344791,8.204583,8.226458,8.253541,8.253541,8.226458,8.226458,8.253541,,75.23
2021-07-02,7.713125,8.184166,8.184166,8.184166,7.552916,8.184166,8.184166,7.552916,7.552916,8.184166,,75.16
2021-07-03,6.99625,7.461875,7.461875,7.461875,6.743541,7.461875,7.461875,6.743541,6.743541,7.461875,,
2021-07-04,6.525833,6.638125,6.638125,6.638125,6.389791,6.638125,6.638125,6.451041,6.451041,6.638125,,
2021-07-05,8.042291,8.852916,8.852916,8.572916,7.692083,8.852916,8.852916,7.692083,7.692083,8.852916,,
2021-07-06,7.627708,9.207291,9.207291,9.207291,7.280416,9.207291,9.207291,7.226458,7.226458,9.207291,,73.37
2021-07-07,8.053958,9.156875,9.156875,9.156875,7.676875,9.156875,9.156875,7.676875,7.676875,9.156875,,72.2
2021-07-08,8.3075,9.037916,9.037916,9.021875,8.04,9.037916,9.037916,8.04,8.04,9.037916,,72.94
2021-07-09,8.288333,8.635416,8.635416,8.635416,8.053541,8.635416,8.635416,8.063125,8.063125,8.635416,,74.56
2021-07-10,7.133125,7.468125,7.433125,7.468125,7.059583,7.44625,7.468125,7.059583,7.059583,7.468125,,
2021-07-11,6.78625,6.940625,6.801875,6.940625,6.720416,6.801875,6.940625,6.720416,6.720416,6.940625,,
2021-07-12,7.758333,7.764791,7.764791,7.726458,7.851875,7.764791,7.764791,7.758958,7.758958,7.764791,,74.1
2021-07-13,8.02,8.555416,8.555416,8.5425,7.735625,8.555416,8.555416,7.735625,7.735625,8.555416,,75.25
2021-07-14,8.045833,8.679583,8.679583,8.645833,7.908541,8.679583,8.679583,7.908541,7.908541,8.679583,,73.13
2021-07-15,7.932083,8.351458,8.351458,8.351458,7.733958,8.351458,8.351458,7.691458,7.691458,8.351458,,71.65
2021-07-16,8.386875,8.67625,8.67625,8.67625,7.934375,8.67625,8.67625,7.925208,7.925208,8.67625,,71.56
2021-07-17,7.347291,7.610208,7.608125,7.589375,7.058958,7.610208,7.610208,7.329375,7.058958,7.610208,,
2021-07-18,6.9375,6.954375,6.954375,6.954375,6.436666,6.954375,6.954375,6.946458,6.717291,6.954375,,
2021-07-19,8.27875,8.257708,8.3,8.175208,8.27875,8.257708,8.257708,8.27875,8.27875,8.257708,,66.35
2021-07-20,9.133541,9.131666,9.176875,8.723958,9.184166,9.131666,9.131666,9.176875,9.176875,9.131666,,67.2
2021-07-21,10.329583,9.802916,9.802916,9.6125,11.624166,9.802916,9.802916,11.669791,11.669791,9.802916,,70.3
2021-07-22,8.275208,8.820625,8.865416,8.630833,7.917291,8.820625,8.820625,7.918333,7.917291,8.820625,,71.91
2021-07-23,8.009583,8.252291,8.275416,8.114375,7.972916,8.252291,8.252291,7.972916,7.972916,8.252291,,72.07
2021-07-24,7.967708,8.4025,8.4025,8.081875,7.544791,8.4025,8.4025,7.770625,7.770625,8.4025,,
2021-07-25,7.344166,7.308333,7.463125,7.306666,7.269791,7.308333,7.308333,7.408125,7.408125,7.308333,,
2021-07-26,8.538125,8.996875,9.009791,8.599166,8.589791,8.996875,8.996875,8.589791,8.589791,8.996875,,71.91
2021-07-27,8.764583,8.979583,8.979583,7.886666,8.782708,8.979583,8.979583,8.782708,8.782708,8.979583,,71.65
2021-07-28,8.758333,8.956041,8.956041,8.095416,8.883958,8.956041,8.956041,8.883958,8.883958,8.956041,,72.39
2021-07-29,9.475833,9.91125,9.91125,8.693125,9.531041,9.91125,9.91125,9.531041,9.531041,9.91125,,73.62
2021-07-30,8.962916,9.337916,9.337916,8.732916,9.006875,9.337916,9.337916,9.006875,9.006875,9.337916,,73.95
2021-07-31,7.491875,7.814375,7.814375,7.749166,7.527083,7.814375,7.814375,7.527083,7.527083,7.814375,,
2021-08-01,7.766666,7.792291,7.792291,7.720833,7.789166,7.792291,7.792291,7.789166,7.789166,7.792291,,
2021-08-02,10.005,10.053541,10.053541,9.075208,12.199583,10.053541,10.053541,12.199583,12.199583,10.053541,,71.26
2021-08-03,10.072916,10.27125,10.317083,9.191875,10.339583,10.27125,10.27125,10.339583,10.339583,10.27125,,70.56
2021-08-04,10.732083,10.4525,10.4525,9.965208,13.06,10.4525,10.4525,13.414166,13.414166,10.4525,,68.15
2021-08-05,11.801458,11.363958,11.363958,10.369791,14.023333,11.363958,11.363958,14.543541,14.543541,11.363958,,69.09
2021-08-06,10.712708,10.779166,10.779166,10.438125,10.7425,10.779166,10.779166,10.771458,10.771458,10.779166,,68.28
2021-08-07,9.122083,9.459791,9.457083,9.176458,8.990416,9.459791,9.459791,8.990416,8.990416,9.459791,,
2021-08-08,8.582708,8.856041,8.856041,8.698958,8.434375,8.856041,8.856041,8.434375,8.434375,8.856041,,
2021-08-09,9.609791,9.989583,9.999375,8.885833,9.605833,9.999375,9.989583,9.605833,9.605833,9.989583,,66.48
2021-08-10,9.231041,9.141875,9.367916,8.642708,9.995416,9.141875,9.141875,9.975,9.975,9.141875,,68.29
2021-08-11,9.290833,9.279166,9.279166,9.261041,9.290208,9.279166,9.279166,9.290208,9.290208,9.279166,,69.25
2021-08-12,8.06625,7.890416,8.124375,7.890416,7.906875,7.890416,7.890416,8.126666,8.060625,7.890416,,69.09
2021-08-13,7.475208,7.408333,7.880833,7.408333,6.884375,7.408333,7.408333,7.608541,7.44125,7.408333,,68.44
2021-08-14,7.3125,7.200625,7.378125,7.200625,7.008125,7.200625,7.185,7.360833,7.360833,7.200625,,
2021-08-15,6.598125,6.198125,6.771666,6.198125,6.372916,6.198125,6.198125,6.751666,6.751666,6.198125,,
2021-08-16,7.465208,7.486041,7.578333,7.400625,7.12875,7.486041,7.486041,7.578333,7.490833,7.486041,,67.29
2021-08-17,7.408125,6.559583,7.662708,6.545,7.51,6.559583,6.559583,7.661875,7.661875,6.559583,,66.59
2021-08-18,7.34625,7.102916,7.457291,6.92875,7.450208,7.102916,7.102916,7.458541,7.458541,7.102916,,65.21
2021-08-19,7.706458,7.170416,7.833333,7.155625,7.855416,7.170416,7.170416,7.911666,7.911666,7.170416,,63.5
2021-08-20,7.8125,7.312916,8.1975,7.122291,7.938541,7.312916,7.312916,8.204791,8.204791,7.312916,,62.14
2021-08-21,7.710208,7.79375,7.819791,7.600833,7.755416,7.79375,7.79375,7.827708,7.827708,7.79375,,
2021-08-22,6.933958,6.555416,7.119166,6.486666,6.96125,6.555416,6.555416,7.176458,7.176458,6.555416,,
2021-08-23,8.070833,7.399166,8.408541,7.056458,8.595208,7.399166,7.399166,8.623958,8.595208,7.399166,,65.64
2021-08-24,8.292916,8.334791,8.790416,7.597916,8.740208,8.334791,8.334791,8.80375,8.740208,8.334791,,67.54
2021-08-25,8.372708,8.245625,8.692916,7.566041,8.754166,8.245625,8.245625,8.754166,8.754166,8.245625,,68.36
2021-08-26,9.38,8.948958,9.161458,7.969375,11.049166,8.948958,8.948958,11.164791,11.151666,8.948958,,67.42
2021-08-27,9.169791,9.272916,9.278333,8.335416,9.519166,9.272916,9.272916,9.519166,9.519166,9.272916,,68.74
2021-08-28,8.000416,8.056041,8.056041,7.115625,8.094375,8.056041,8.056041,8.111875,8.111875,8.056041,,
2021-08-29,7.522916,7.240833,7.240833,5.863125,7.579583,7.240833,7.240833,7.719791,7.66125,7.240833,,
2021-08-30,9.4775,9.986458,9.986458,8.27,9.435625,9.986458,9.986458,10.21375,10.063958,9.986458,,69.21
2021-08-31,8.996875,9.7175,9.7175,8.574791,8.296875,9.7175,9.7175,8.990833,8.897083,9.7175,,68.5
2021-09-01,9.476458,10.104166,10.104166,8.723333,8.733125,10.104166,10.104166,9.423333,9.423333,10.104166,,68.59
2021-09-02,8.787083,9.003333,9.003333,8.306875,7.812708,9.003333,9.003333,8.90125,8.90125,9.003333,,69.99
2021-09-03,8.554166,8.978958,8.978958,8.163125,8.595625,8.978958,8.978958,8.595625,8.595625,8.978958,,69.29
2021-09-04,7.644583,7.896458,7.828541,7.705625,7.349791,7.828541,7.896458,7.349791,7.349791,7.896458,,
2021-09-05,7.38875,7.645833,7.625833,7.645833,7.216458,7.625833,7.645833,7.252083,7.252083,7.645833,,
2021-09-06,7.903958,8.08,8.075208,7.949166,7.77,8.075208,8.08,7.781041,7.781041,8.08,,
2021-09-07,7.763333,8.306041,8.304583,8.036458,7.622291,8.304583,8.306041,7.616875,7.425208,8.306041,,68.35
2021-09-08,7.442916,7.831458,7.831458,7.609791,7.572708,7.831458,7.831458,6.993125,6.993125,7.831458,,69.3
2021-09-09,7.9425,8.127916,8.203958,6.459375,8.593125,8.203958,8.127916,7.961875,7.961875,8.194583,,68.14
2021-09-10,7.620833,7.849166,7.849166,7.4975,7.565625,7.849166,7.849166,7.620416,7.565625,7.849166,,69.72
2021-09-11,7.758125,7.963333,7.953125,7.48875,7.773958,7.953125,7.963333,7.773958,7.773958,7.963333,,
2021-09-12,7.383958,7.512083,7.453541,6.656875,7.946458,7.453541,7.512083,7.327083,7.327083,7.512083,,
2021-09-13,8.102083,8.316875,8.255208,7.424791,7.606666,8.255208,8.316875,7.991875,6.783125,8.316875,,70.45
2021-09-14,8.628958,9.382083,9.382083,9.345416,8.881041,9.382083,9.382083,8.288333,8.286041,9.382083,,70.46
2021-09-15,8.102708,8.422916,8.422916,8.198958,8.811458,8.422916,8.422916,8.0575,8.0575,8.422916,,72.61
2021-09-16,7.847708,8.118958,8.118958,8.105833,8.327083,8.118958,8.118958,7.715833,7.715833,8.118958,,72.61
2021-09-17,8.473541,9.051875,9.051875,8.505416,8.528541,9.051875,9.051875,8.325833,8.325833,9.051875,,71.82
2021-09-18,7.623541,7.823333,7.823333,4.660208,8.197291,7.823333,7.823333,7.470208,7.470208,7.823333,,
2021-09-19,5.7425,5.975833,5.975833,4.114791,6.080625,5.975833,5.975833,6.015625,6.015625,5.975833,,
2021-09-20,7.023333,7.671666,7.676458,5.864375,7.410208,7.676458,7.671666,7.045625,7.045625,7.671666,,70.14
2021-09-21,7.752083,8.626041,8.626041,7.500833,9.31625,8.626041,8.626041,7.628333,7.628333,8.626041,,70.49
2021-09-22,8.538125,11.101041,11.101041,7.432083,9.470208,11.101041,11.101041,8.386666,8.386666,11.101041,,72.23
2021-09-23,7.668125,7.802916,7.802916,4.255625,8.141666,7.802916,7.802916,7.896666,7.896666,7.802916,,73.3
2021-09-24,8.76375,9.435833,9.435833,6.019791,9.293958,9.435833,9.435833,8.967916,8.967916,9.435833,,73.98
2021-09-25,7.544583,7.618125,7.618125,4.247708,8.400833,7.618125,7.618125,7.597916,7.597916,7.618125,,
2021-09-26,7.302708,7.380208,7.388125,4.267291,7.391041,7.388125,7.380208,7.391041,7.391041,7.380208,,
2021-09-27,7.904791,8.525416,8.525416,6.495416,7.749375,8.525416,8.525416,7.749375,7.749375,8.525416,,75.45
2021-09-28,7.971875,9.365,9.365,8.229375,7.902291,9.365,9.365,7.84,7.84,9.365,,75.29
2021-09-29,7.734166,7.986666,7.986666,7.875,7.651458,7.986666,7.986666,7.647083,7.647083,7.986666,,74.83
2021-09-30,8.988125,10.242083,10.242083,6.980208,9.536458,10.242083,10.242083,9.23375,9.23375,10.242083,,75.03
2021-10-01,10.017291,12.155833,12.155833,6.357291,15.969166,12.155833,12.155833,9.595833,9.595833,12.155833,,75.88
2021-10-02,8.80625,10.615416,10.615416,3.151875,11.299583,10.615416,10.615416,9.05125,9.035208,10.615416,,
2021-10-03,7.5075,8.331666,8.331666,3.23625,10.538958,8.331666,8.331666,8.69625,8.696041,8.331666,,
2021-10-04,9.940416,10.175,10.175,5.405,32.173333,10.175,10.175,8.669166,8.669166,10.175,,77.62
2021-10-05,12.335416,11.105625,11.303125,6.873541,28.735833,11.105625,11.105625,10.786041,10.786041,11.105625,,78.93
2021-10-06,11.525208,11.69,11.69,7.547291,12.332708,11.69,11.69,11.174375,11.174375,11.69,,77.43
2021-10-07,12.116875,12.809583,12.809583,7.354583,12.192083,12.809583,12.809583,12.50125,12.50125,12.809583,,78.3
2021-10-08,13.933541,14.493125,14.500208,8.722708,13.275625,14.500208,14.493125,14.500208,14.500208,14.493125,,79.35
2021-10-09,9.726458,13.924583,13.924583,6.544583,9.276666,13.924583,13.924583,9.385833,9.385833,13.924583,,
2021-10-10,8.697083,9.9475,9.9475,4.532916,8.60375,9.9475,9.9475,8.553958,8.553958,9.9475,,
2021-10-11,14.189166,16.92375,16.92375,9.449583,12.684375,16.92375,16.92375,12.600833,12.600833,16.92375,,80.52
2021-10-12,16.409583,20.0575,20.318125,11.436041,12.29125,20.318125,20.0575,16.713333,16.713333,20.0575,,80.64
2021-10-13,15.539166,17.040208,17.040208,10.098333,11.00625,17.040208,17.040208,14.252708,14.252708,17.040208,,80.44
2021-10-14,11.373541,13.7475,13.7475,9.846041,9.956458,13.7475,13.7475,9.956458,9.956458,13.7475,,81.31
2021-10-15,12.000416,13.01625,13.011875,11.628541,11.400625,13.011875,13.01625,11.399791,11.399791,13.01625,,82.28
2021-10-16,9.379791,10.648125,10.533541,9.17875,8.998541,10.533541,10.082708,8.727083,8.727083,10.648125,,
2021-10-17,8.448541,9.261666,9.261666,8.887916,8.304791,9.261666,9.261666,8.263125,8.2625,9.261666,,
2021-10-18,11.399375,12.462916,12.816875,7.684166,10.923541,12.816875,12.31375,10.970625,10.970625,12.816875,,81.69
2021-10-19,14.192708,14.885625,16.442083,9.365416,13.531875,16.442083,14.885625,14.72625,13.537083,16.442083,,82.44
2021-10-20,11.6875,14.362916,14.471666,10.783541,11.395208,14.471666,14.361458,11.265625,11.265625,14.471666,,83.42
2021-10-21,12.347291,13.96375,13.911041,11.061875,11.958125,13.911041,13.96375,11.839375,11.839375,13.96375,,82.5
2021-10-22,15.445625,16.23875,17.444375,9.047916,16.053958,17.444375,16.23875,17.883125,17.883125,17.043333,,83.76
2021-10-23,10.503958,14.342291,14.342291,6.346458,10.588958,14.342291,14.318333,10.572916,10.572916,14.342291,,
2021-10-24,9.954166,12.803333,12.801041,5.573333,11.113333,12.801041,12.803333,11.101458,11.101458,12.813333,,
2021-10-25,16.915,17.969166,18.09875,10.528541,14.106666,18.09875,17.969166,18.09875,14.481875,17.969166,,83.76
2021-10-26,15.380208,15.796041,16.210833,8.1725,15.59625,16.210833,15.760416,16.12625,16.12625,16.136666,,84.65
2021-10-27,14.153333,13.895833,14.136458,9.285833,13.530625,14.136458,13.895833,13.553125,13.553125,14.092708,,82.66
2021-10-28,13.165416,16.081458,16.305625,8.41125,11.575416,16.305625,16.081458,11.690625,11.68625,16.305625,,82.81
2021-10-29,13.543333,15.72875,15.775416,9.53625,13.395833,15.775416,15.72875,13.449583,13.449583,15.775416,,83.57
2021-10-30,12.122083,15.737291,15.589583,11.528541,10.264166,15.589583,15.737291,10.27,10.27,15.737291,,
